"Src","Rep","Plot","Ind","Tiller","Leaf","doy","gl","Site","gr","tr","Yrm","Yrt"
"CF",1,"CF1","CF1","Black","1",176,10.7,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",182,12.5,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",189,12.5,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",197,12.5,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",204,12.5,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",211,11.5,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",229,6,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",238,0,"Coldfoot","control",1,2015,2014
"CF",1,"CF1","CF1","Black","1",153,0,"Coldfoot","control",1,2016,2014
"CF",10,"CF10","CF10","Black","1",176,15,"Coldfoot","control",1,2015,2014
"CF",10,"CF10","CF10","Black","1",182,12.5,"Coldfoot","control",1,2015,2014
"CF",10,"CF10","CF10","Black","1",189,9.4,"Coldfoot","control",1,2015,2014
"CF",10,"CF10","CF10","Black","1",197,7.4,"Coldfoot","control",1,2015,2014
"CF",10,"CF10","CF10","Black","1",204,6.2,"Coldfoot","control",1,2015,2014
"CF",10,"CF10","CF10","Black","1",211,7,"Coldfoot","control",1,2015,2014
"CF",2,"CF2","CF2","Black","1",168,9,"Coldfoot","control",1,2015,2014
"CF",2,"CF2","CF2","Black","1",176,9,"Coldfoot","control",1,2015,2014
"CF",2,"CF2","CF2","Black","1",182,9,"Coldfoot","control",1,2015,2014
"CF",2,"CF2","CF2","Black","1",189,6.4,"Coldfoot","control",1,2015,2014
"CF",2,"CF2","CF2","Black","1",197,7.9,"Coldfoot","control",1,2015,2014
"CF",2,"CF2","CF2","Black","1",204,1.2,"Coldfoot","control",1,2015,2014
"CF",3,"CF3","CF3","Black","1",168,6,"Coldfoot","control",1,2015,2014
"CF",3,"CF3","CF3","Black","1",176,5.5,"Coldfoot","control",1,2015,2014
"CF",3,"CF3","CF3","Black","1",182,5.5,"Coldfoot","control",1,2015,2014
"CF",3,"CF3","CF3","Black","1",189,3.4,"Coldfoot","control",1,2015,2014
"CF",4,"CF4","CF4","Black","1",176,15,"Coldfoot","control",1,2015,2014
"CF",4,"CF4","CF4","Black","1",182,9,"Coldfoot","control",1,2015,2014
"CF",4,"CF4","CF4","Black","1",189,9,"Coldfoot","control",1,2015,2014
"CF",4,"CF4","CF4","Black","1",197,9,"Coldfoot","control",1,2015,2014
"CF",4,"CF4","CF4","Black","1",204,8.2,"Coldfoot","control",1,2015,2014
"CF",4,"CF4","CF4","Black","1",211,7,"Coldfoot","control",1,2015,2014
"CF",5,"CF5","CF5","Black","1",168,11.5,"Coldfoot","control",1,2015,2014
"CF",5,"CF5","CF5","Black","1",176,11.5,"Coldfoot","control",1,2015,2014
"CF",5,"CF5","CF5","Black","1",182,11.5,"Coldfoot","control",1,2015,2014
"CF",5,"CF5","CF5","Black","1",189,9.9,"Coldfoot","control",1,2015,2014
"CF",5,"CF5","CF5","Black","1",197,7.4,"Coldfoot","control",1,2015,2014
"CF",5,"CF5","CF5","Black","1",204,0.7,"Coldfoot","control",1,2015,2014
"CF",6,"CF6","CF6","Black","1",189,12,"Coldfoot","control",1,2015,2014
"CF",6,"CF6","CF6","Black","1",197,12,"Coldfoot","control",1,2015,2014
"CF",6,"CF6","CF6","Black","1",204,12,"Coldfoot","control",1,2015,2014
"CF",6,"CF6","CF6","Black","1",211,12,"Coldfoot","control",1,2015,2014
"CF",6,"CF6","CF6","Black","1",229,10,"Coldfoot","control",1,2015,2014
"CF",6,"CF6","CF6","Black","1",238,0,"Coldfoot","control",1,2015,2014
"CF",6,"CF6","CF6","Black","1",153,0,"Coldfoot","control",1,2016,2014
"CF",7,"CF7","CF7","Black","1",168,18,"Coldfoot","control",1,2015,2014
"CF",7,"CF7","CF7","Black","1",176,16,"Coldfoot","control",1,2015,2014
"CF",7,"CF7","CF7","Black","1",182,16,"Coldfoot","control",1,2015,2014
"CF",7,"CF7","CF7","Black","1",189,14.9,"Coldfoot","control",1,2015,2014
