Site,Plot,Tussock,Year,Onset (line),Onset (guess),Note(s)
Coldfoot,CF3,CF3,2015,190,185,
Coldfoot,CF4,CF4,2015,220,218,
Coldfoot,CF5,CF5,2015,180,179,
Coldfoot,CF6,CF6,2015,220,215,
Coldfoot,CF7,CF7,2015,200,200,
Coldfoot,CF8,CF8,2015,220,215,
Coldfoot,CF9,CF9,2015,190,188,
Coldfoot,SG1,SG1,2015,190,186,
Coldfoot,SG10,SG10,2015,200,200,
Coldfoot,SG3,SG3,2015,180,177,
Coldfoot,SG5,SG5,2015,190,185,
Coldfoot,SG7,SG7,2015,180,180,
Coldfoot,SG8,SG8,2015,210,206,
Coldfoot,SG9,SG9,2015,210,207,
Coldfoot,TL1,TL1,2015,200,202,
Coldfoot,TL2,TL2,2015,210,206,
Coldfoot,TL4,TL4,2015,190,185,
Coldfoot,TL6,TL6,2015,190,186,
Coldfoot,TL7,TL7,2015,200,195,
Sagwon,CF10,CF10,2015,200,199,
Sagwon,CF11,CF11,2015,210,210,Two points
Sagwon,CF13,CF13,2015,220,219,
Sagwon,CF16,CF16,2015,210,204,
Sagwon,CF19,CF19,2015,200,202,
Sagwon,CF2,CF2,2015,180,180,Sharp drops
Sagwon,CF4,CF4,2015,210,206,
Sagwon,CF5,CF5,2015,210,210,
Sagwon,CF7,CF7,2015,200,204,
Sagwon,SG10,SG10,2015,210,206,
Sagwon,SG14,SG14,2015,200,200,
Sagwon,SG17,SG17,2015,200,200,
Sagwon,SG2,SG2,2015,210,206,
Sagwon,SG5,SG5,2015,190,193,
Sagwon,TL11,TL11,2015,210,206,
Sagwon,TL16,TL16,2015,200,196,
Sagwon,TL17,TL17,2015,200,195,
Sagwon,TL19,TL19,2015,210,206,
Sagwon,TL4,TL4,2015,210,204,
Toolik,CF10,CF10,2015,180,180,
Toolik,CF11,CF11,2015,210,209,
Toolik,CF13,CF13,2015,210,205,
Toolik,CF16,CF16,2015,190,187,
Toolik,CF18,CF18,2015,190,188,Sharp drop
Toolik,CF19,CF19,2015,190,193,
Toolik,CF2,CF2,2015,190,187,
Toolik,CF4,CF4,2015,210,208,
Toolik,CF7,CF7,2015,210,205,
Toolik,SG10,SG10,2015,180,177,
Toolik,SG11,SG11,2015,190,186,
Toolik,SG14,SG14,2015,190,189,
Toolik,SG17,SG17,2015,200,200,Two points
Toolik,SG19,SG19,2015,190,190,
Toolik,SG2,SG2,2015,190,186,
Toolik,SG4,SG4,2015,190,187,
Toolik,SG8,SG8,2015,190,193,
Toolik,TL10,TL10,2015,180,178,
Toolik,TL12,TL12,2015,190,185,
Toolik,TL13,TL13,2015,180,176,
Toolik,TL17,TL17,2015,200,200,
Toolik,TL19,TL19,2015,180,175,
Toolik,TL2,TL2,2015,190,186,
Toolik,TL4,TL4,2015,200,193,
Toolik,TL5,TL5,2015,190,189,
Toolik,TL8,TL8,2015,210,205,
Coldfoot,CF5,CF5,2016,220,216,
Coldfoot,CF6,CF6,2016,220,220,
Coldfoot,SG1,SG1,2016,200,198,
Coldfoot,SG4,SG4,2016,220,210,
Coldfoot,SG5,SG5,2016,200,197,
Coldfoot,SG7,SG7,2016,200,190,
Coldfoot,SG9,SG9,2016,200,200,
Coldfoot,TL10,TL10,2016,220,223,
Coldfoot,TL4,TL4,2016,200,200,
Coldfoot,TL7,TL7,2016,220,223,
Coldfoot,TL8,TL8,2016,200,208,
Sagwon,CF10,CF10,2016,220,210,
Sagwon,CF11,CF11,2016,240,228,
Sagwon,CF13,CF13,2016,240,232,
Sagwon,CF16,CF16,2016,240,230,Two points
Sagwon,CF19,CF19,2016,220,212,
Sagwon,CF2,CF2,2016,220,204,
Sagwon,CF4,CF4,2016,240,248,
Sagwon,CF5,CF5,2016,220,210,
Sagwon,CF7,CF7,2016,220,224,
Sagwon,SG19,SG19,2016,220,222,
Sagwon,SG5,SG5,2016,220,212,
Sagwon,TL16,TL16,2016,200,208,
Sagwon,TL17,TL17,2016,240,233,
Sagwon,TL5,TL5,2016,220,210,
Sagwon,TL8,TL8,2016,200,189,
Toolik,CF10,CF10,2016,220,221,
Toolik,CF11,CF11,2016,200,203,
Toolik,CF13,CF13,2016,200,193,Two points
Toolik,CF16,CF16,2016,220,225,
Toolik,CF19,CF19,2016,220,222,
Toolik,CF7,CF7,2016,220,220,
Toolik,SG10,SG10,2016,200,200,
Toolik,SG11,SG11,2016,220,222,
Toolik,SG17,SG17,2016,200,202,
Toolik,SG19,SG19,2016,200,202,
Toolik,SG2,SG2,2016,220,213,
Toolik,SG4,SG4,2016,220,217,
Toolik,SG8,SG8,2016,200,203,
Toolik,TL10,TL10,2016,220,212,
Toolik,TL11,TL11,2016,220,218,
Toolik,TL13,TL13,2016,220,217,
Toolik,TL19,TL19,2016,200,203,
Toolik,TL5,TL5,2016,200,202,
Toolik,TL8,TL8,2016,220,221,
Coldfoot,CF1,CF1,2017,220,222,
Coldfoot,CF10,CF10,2017,220,214,
Coldfoot,CF2,CF2,2017,220,210,
Coldfoot,CF3,CF3,2017,220,228,
Coldfoot,CF6,CF6,2017,220,227,
